Name,State,Country,Location
Rowlett,Texas,US,"32.9029 , -96.56388"
The Colony,Texas,US,"33.08901 , -96.88639"
University Park,Texas,US,"32.85013 , -96.80028"
Waxahachie,Texas,US,"32.38653 , -96.84833"
Levittown,Pennsylvania,US,"40.15511 , -74.82877"
Philadelphia,Pennsylvania,US,"39.95233 , -75.16379"
Brook Park,Ohio,US,"41.39838 , -81.80458"
East Cleveland,Ohio,US,"41.53311 , -81.57901"
Cleveland Heights,Ohio,US,"41.52005 , -81.55624"
East Cleveland,Ohio,US,"41.53311 , -81.57901"
South Euclid,Ohio,US,"41.52311 , -81.51846"
Garfield Heights,Ohio,US,"41.417 , -81.60596"
Lakewood,Ohio,US,"41.48199 , -81.79819"
Maple Heights,Ohio,US,"41.41533 , -81.56596"
Parma,Ohio,US,"41.40477 , -81.72291"
Shaker Heights,Ohio,US,"41.47394 , -81.53707"
South Euclid,Ohio,US,"41.52311 , -81.51846"
Champaign,Illinois,US,"40.11642 , -88.24338"
Charleston,Illinois,US,"39.49615 , -88.17615"
Danville,Illinois,US,"40.12448 , -87.63002"
Decatur,Illinois,US,"39.84031 , -88.9548"
Quincy,Illinois,US,"39.9356 , -91.40987"
Springfield,Illinois,US,"39.80172 , -89.64371"
Urbana,Illinois,US,"40.11059 , -88.20727"
Andover,Minnesota,US,"45.2333 , -93.29134"
Duluth,Minnesota,US,"46.78327 , -92.10658"
Moorhead,Minnesota,US,"46.87386 , -96.76951"
East Chicago,Indiana,US,"41.6392 , -87.45476"
Gary,Indiana,US,"41.59337 , -87.34643"
Hammond,Indiana,US,"41.58337 , -87.50004"
Highland,Indiana,US,"41.55365 , -87.45198"
Hobart,Indiana,US,"41.53226 , -87.25504"
LaPorte,Indiana,US,"41.6106 , -86.72252"
Merrillville,Indiana,US,"41.48281 , -87.33281"
Michigan City,Indiana,US,"41.70754 , -86.89503"
Munster,Indiana,US,"41.56448 , -87.51254"
Portage,Indiana,US,"41.57587 , -87.17615"
Schererville,Indiana,US,"41.47892 , -87.45476"
Valparaiso,Indiana,US,"41.47309 , -87.06114"
Athens,Ohio,US,"39.32924 , -82.10126"
Chillicothe,Ohio,US,"39.33312 , -82.9824"
Delaware,Ohio,US,"40.29867 , -83.06797"
Lancaster,Ohio,US,"39.71368 , -82.59933"
Marion,Ohio,US,"40.58867 , -83.12852"
Newark,Ohio,US,"40.05812 , -82.40126"
Portsmouth,Ohio,US,"38.73174 , -82.99767"
Zanesville,Ohio,US,"39.94035 , -82.01319"
Algonquin,Illinois,US,"42.16558 , -88.29425"
Arlington Heights,Illinois,US,"42.08836 , -87.98063"
Buffalo Grove,Illinois,US,"42.15141 , -87.95979"
Carpentersville,Illinois,US,"42.12114 , -88.25786"
Des Plaines,Illinois,US,"42.03336 , -87.8834"
South Elgin,Illinois,US,"41.99419 , -88.2923"
Elk Grove Village,Illinois,US,"42.00392 , -87.97035"
Evanston,Illinois,US,"42.04114 , -87.69006"
Glenview,Illinois,US,"42.06975 , -87.78784"
Gurnee,Illinois,US,"42.3703 , -87.90202"
Highland Park,Illinois,US,"42.18169 , -87.80034"
Hoffman Estates,Illinois,US,"42.04281 , -88.0798"
Lake Forest,Illinois,US,"42.25863 , -87.84063"
Lake in the Hills,Illinois,US,"42.18169 , -88.33036"
Libertyville,Illinois,US,"42.28308 , -87.95313"
Morton Grove,Illinois,US,"42.04059 , -87.78256"
Mount Prospect,Illinois,US,"42.06642 , -87.93729"
Mundelein,Illinois,US,"42.26308 , -88.00397"
Niles,Illinois,US,"42.01892 , -87.80284"
North Chicago,Illinois,US,"42.32558 , -87.84118"
Northbrook,Illinois,US,"42.12753 , -87.82895"
Palatine,Illinois,US,"42.1103 , -88.03424"
Park Ridge,Illinois,US,"42.01114 , -87.84062"
Rolling Meadows,Illinois,US,"42.08419 , -88.01313"
Round Lake Beach,Illinois,US,"42.37169 , -88.09008"
Schaumburg,Illinois,US,"42.03336 , -88.08341"
Skokie,Illinois,US,"42.03336 , -87.73339"
Vernon Hills,Illinois,US,"42.21947 , -87.97952"
Waukegan,Illinois,US,"42.36363 , -87.84479"
Wheeling,Illinois,US,"42.13919 , -87.92896"
Wilmette,Illinois,US,"42.07225 , -87.72284"
Zion,Illinois,US,"42.44613 , -87.83285"
Baton Rouge,Louisiana,US,"30.45075 , -91.15455"
Biloxi,Mississippi,US,"30.39603 , -88.88531"
West Gulfport,Mississippi,US,"30.40409 , -89.0942"
Pascagoula,Mississippi,US,"30.36576 , -88.55613"
Albany,Georgia,US,"31.57851 , -84.15574"
Valdosta,Georgia,US,"30.83334 , -83.28032"
Muskegon,Michigan,US,"43.23418 , -86.24839"
Norton Shores,Michigan,US,"43.1689 , -86.26395"
Shelby,Michigan,US,"42.67087 , -83.03298"
Akron,Ohio,US,"41.08144 , -81.51901"
Alliance,Ohio,US,"40.91534 , -81.10593"
Austintown,Ohio,US,"41.10172 , -80.76452"
